id;placed_date;status;code;invoice_id;customer_id
1;2020-03-25T04:34:50;COMPLETED;Georgia calculate withdrawal;virtual violet Corporate;1
2;2020-03-24T14:57:17;CANCELLED;Health Music Expanded;THX Marketing Generic Plastic Hat;2
3;2020-03-24T13:33:01;CANCELLED;revolutionize harness Kyat;Toys Implementation;3
4;2020-03-25T02:52:42;COMPLETED;circuit backing up Orchestrator;Small Concrete Cheese connecting;4
5;2020-03-25T10:03:37;COMPLETED;target;orchid;5
6;2020-03-24T21:52:14;CANCELLED;input;Chair Human;6
7;2020-03-24T15:02:44;CANCELLED;payment;navigate Beauty;7
8;2020-03-24T15:10:15;CANCELLED;Spain Bike proactive;hack green Streamlined;8
9;2020-03-25T03:41:09;PENDING;back up front-end eco-centric;FTP;9
10;2020-03-25T10:28:09;COMPLETED;bluetooth matrix;Papua New Guinea West Virginia Unbranded Wooden Gloves;10
